episode;steps;reward;average;epsilon
0;80;-90.30300536021076;-90.30300536021076;0.934133082993863
1;71;-73.2698045377098;-81.78640494896028;0.6999727282217079
2;101;-202.06432219347252;-121.87904403046436;0.4650863987317714
3;211;-252.77061544544378;-154.6019368842092;0.19884440923591512
4;124;-76.56443206888623;-138.99443592114463;0.12048436350679732
5;109;-113.58377711655444;-134.7593261203796;0.07752788106594635
6;213;-90.82616641280758;-128.4831604478693;0.0328818570520757
7;164;-93.35857268198271;-124.09258697713348;0.01697255313235
8;184;-87.91762390676745;-120.0731466359817;0.01
9;135;-108.2388863142705;-118.88972060381059;0.01
10;149;-46.47535115103669;-112.30659610810386;0.01
11;116;-451.6623701809746;-140.58624394750976;0.01
12;188;-81.58172079884392;-136.04743447453546;0.01
13;291;-286.4112714959447;-146.78770854749328;0.01
14;445;-60.61127264722363;-141.04261282080864;0.01
15;706;-236.4788865161289;-147.00737992676613;0.01
16;175;-102.64963746730814;-144.3981009585627;0.01
17;159;-192.35816713200632;-147.06254907930958;0.01
18;68;6.523813671745472;-138.97905630293826;0.01
19;153;-46.226166862192734;-134.341411830901;0.01
20;189;-127.37959475547656;-134.00989673207127;0.01
21;307;-127.79524840868649;-133.72741271737195;0.01
22;237;-67.50572808435061;-130.84820903767536;0.01
23;530;-272.89211825689904;-136.76670525514302;0.01
24;641;-221.470902286755;-140.1548731364075;0.01
25;248;-120.84982645093243;-139.4123713408123;0.01
26;482;-114.24343480947752;-138.48018850631843;0.01
27;962;-199.60027070039217;-140.6630485846782;0.01
28;289;-212.63229229253943;-143.14474664356996;0.01
29;334;-11.639426690095846;-138.76123597845418;0.01
30;999;-59.1631603996801;-136.19355612107435;0.01
31;999;-70.46782403466307;-134.139626993374;0.01
32;999;-20.459321545217357;-130.69476925252079;0.01
33;999;-8.748888406275046;-127.10812569821944;0.01
34;999;-46.93821672457939;-124.81755687040116;0.01
35;999;-11.926746155766345;-121.68170101721687;0.01
36;999;-94.92523237892875;-120.95855321618205;0.01
37;999;-14.505920505456185;-118.15716814484715;0.01
38;999;-138.47671329761513;-118.67818212312325;0.01
39;754;-335.4143579723272;-124.09658651935334;0.01
40;999;-66.5475226761597;-122.69295081586081;0.01
41;166;-258.4713612146764;-125.9257701110707;0.01
42;999;-94.92051921094071;-125.20471776455604;0.01
43;999;-133.59952156926056;-125.3955087601175;0.01
